"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","datastart","datastop","storico","cgb_nord","cgb_est","lng","lat","location"
"10575","Radiazione Globale","W/m²","1273","Val Masino Bagni","1191","SO","2011-07-15T00:00:00.000","2021-02-12T00:00:00.000","S","5121270","545980","9.596430583118106","46.24345094940859","
,  
(46.24345094940859, 9.596430583118106)"
"10585","Precipitazione","mm","1274","Perledo P.zza della stazione","212","LC","2010-07-01T00:00:00.000",,"N","5095846","522171","9.286409208680807","46.01582830438376","
,  
(46.01582830438376, 9.286409208680807)"
"10658","Temperatura","°C","1898","Valganna Mondonico","665","VA","2020-05-18T00:00:00.000",,"N","5084612","485317","8.810666295513172","45.914919843129915","
,  
(45.914919843129915, 8.810666295513172)"
"10661","Umidità Relativa","%","1898","Valganna Mondonico","665","VA","2020-05-18T00:00:00.000",,"N","5084612","485317","8.810666295513172","45.914919843129915","
,  
(45.914919843129915, 8.810666295513172)"
"10662","Direzione Vento","°","1898","Valganna Mondonico","665","VA","2020-05-18T00:00:00.000",,"N","5084612","485317","8.810666295513172","45.914919843129915","
,  
(45.914919843129915, 8.810666295513172)"
"10664","Velocità Vento","m/s","1898","Valganna Mondonico","665","VA","2020-05-18T00:00:00.000",,"N","5084612","485317","8.810666295513172","45.914919843129915","
,  
(45.914919843129915, 8.810666295513172)"
"10666","Precipitazione","mm","1898","Valganna Mondonico","665","VA","2020-05-18T00:00:00.000",,"N","5084612","485317","8.810666295513172","45.914919843129915","
,  
(45.914919843129915, 8.810666295513172)"
"10773","Umidità Relativa","%","35","Caspoggio Piazzo Cavalli","1719","SO","2021-02-13T00:00:00.000",,"N","5122179","567130","9.87088061448165","46.24987071642867","
,  
(46.24987071642867, 9.87088061448165)"
"10777","Radiazione Globale","W/m²","16","Valfurva Ghiacciaio dei Forni","2180","SO","2022-08-09T00:00:00.000",,"N","5141977","619522","10.55540938438045","46.4207875647015","
,  
(46.4207875647015, 10.55540938438045)"
"10778","Umidità Relativa","m/s","16","Valfurva Ghiacciaio dei Forni","2180","SO","2021-12-15T00:00:00.000",,"N","5141977","619522","10.55540938438045","46.4207875647015","
,  
(46.4207875647015, 10.55540938438045)"
"11007","Temperatura","°C","822","Valtorta","982","BG","2010-11-10T00:00:00.000",,"N","5091256","541747","9.538885913106554","45.9736050452045","
,  
(45.9736050452045, 9.538885913106554)"
"11008","Umidità Relativa","%","822","Valtorta","982","BG","2010-11-10T00:00:00.000",,"N","5091256","541747","9.538885913106554","45.9736050452045","
,  
(45.9736050452045, 9.538885913106554)"
"11011","Umidità Relativa","%","912","Foppolo","1682","BG","2010-11-22T00:00:00.000",,"N","5099046","558502","9.756104062898737","46.04248712086998","
,  
(46.04248712086998, 9.756104062898737)"
"11020","Umidità Relativa","%","1205","Molteno Cimitero","278","LC","2010-12-16T00:00:00.000",,"N","5069985","523872","9.30709688159315","45.78301246418984","
,  
(45.78301246418984, 9.30709688159315)"
"11021","Umidità Relativa","%","1224","Cortenova","456","LC","2010-12-22T00:00:00.000",,"N","5094947","529451","9.380396323644733","46.00746283105623","
,  
(46.00746283105623, 9.380396323644733)"
"11025","Precipitazione","mm","826","Gavardo SP 116","205","BS","2020-08-06T00:00:00.000",,"N","5049767","612403","10.44108604357676","45.59235602705005","
,  
(45.59235602705005, 10.44108604357676)"
"11044","Temperatura","°C","1264","Sondrio v.Paribelli","290","SO","2010-07-01T00:00:00.000","2019-01-22T00:00:00.000","S","5113073","567873","9.879209924469903","46.167852440665115","
,  
(46.167852440665115, 9.879209924469903)"
"11045","Umidità Relativa","%","1264","Sondrio v.Paribelli","290","SO","2010-10-15T00:00:00.000","2019-01-22T00:00:00.000","S","5113073","567873","9.879209924469903","46.167852440665115","
,  
(46.167852440665115, 9.879209924469903)"
"11099","Livello Idrometrico","cm","1200","Porlezza via Porto Letizia","272","CO","2011-08-04T00:00:00.000",,"N","5098085","508966","9.115867206032997","46.03628011582886","
,  
(46.03628011582886, 9.115867206032997)"
"11100","Umidità Relativa","%","1225","Premana Diga di Pagnona","725","LC","2011-07-04T00:00:00.000","2012-07-19T00:00:00.000","S","5100122","531422","9.406194660858826","46.05395062506561","
,  
(46.05395062506561, 9.406194660858826)"
"11113","Radiazione Globale","W/m²","896","Collio S.Colombano","960","BS","2011-08-10T00:00:00.000","2012-03-15T00:00:00.000","S","5073980","606852","10.375271860298373","45.811105655978054","
,  
(45.811105655978054, 10.375271860298373)"
"11114","Umidità Relativa","%","896","Collio S.Colombano","960","BS","2011-08-10T00:00:00.000","2012-03-15T00:00:00.000","S","5073980","606852","10.375271860298373","45.811105655978054","
,  
(45.811105655978054, 10.375271860298373)"
"11116","Umidità Relativa","%","875","Bagolino Valle Dorizzo","1226","BS","2011-08-11T00:00:00.000","2012-11-14T00:00:00.000","S","5081485","612286","10.446939834207004","45.877770447155235","
,  
(45.877770447155235, 10.446939834207004)"
"11129","Velocità Vento","m/s","123","Cavenago d'Adda","67","LO","2002-08-28T00:00:00.000",,"N","5013018","544138","9.562659972530115","45.269273960528615","
,  
(45.269273960528615, 9.562659972530115)"
"11130","Direzione Vento","°","123","Cavenago d'Adda","67","LO","2011-09-04T00:00:00.000",,"N","5013018","544138","9.562659972530115","45.269273960528615","
,  
(45.269273960528615, 9.562659972530115)"
"11140","Radiazione Globale","W/m²","824","Clusone Campo Sportivo","591","BG","2011-08-29T00:00:00.000","2015-07-21T00:00:00.000","S","5081860","573451","9.94664890837357","45.88638608740617","
,  
(45.88638608740617, 9.94664890837357)"
"11144","Temperatura","°C","143","Livigno Passo Foscagno","2320","SO","2011-09-08T00:00:00.000",,"N","5149692","592662","10.20748854795916","46.49442378267979","
,  
(46.49442378267979, 10.20748854795916)"
"11158","Umidità Relativa","%","1230","San Giacomo Filippo Lago Truzzo","2064","SO","2011-09-30T00:00:00.000",,"N","5134156","524616","9.319988190479972","46.36053123729497","
,  
(46.36053123729497, 9.319988190479972)"
"11159","Direzione Vento","°","1230","San Giacomo Filippo Lago Truzzo","2064","SO","2011-09-30T00:00:00.000",,"N","5134156","524616","9.319988190479972","46.36053123729497","
,  
(46.36053123729497, 9.319988190479972)"
