ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2016,LODI,ALL,18-39,9.510140481,45.31535435,56913,24.808097187168993,"(45.31535435, 9.510140481)"
2015,SONDRIO,F,80 e +,9.879429303,46.1707552,8144,4.47261184275562,"(46.1707552, 9.879429303)"
2015,LECCO,M,ALL,9.388156645,45.85028614,167195,49.138724059591304,"(45.85028614, 9.388156645)"
2015,ITALIA,F,0-17,,,4899244,8.058548699205463,
2013,MILANO,M,18-39,9.18951,45.46427,382936,12.452867125862944,"(45.46427, 9.18951)"
2014,CREMONA,M,ALL,10.0131151,45.13644491,177467,49.004945587492166,"(45.13644491, 10.0131151)"
2014,MANTOVA,ALL,ALL,10.77086348,45.14135331,415147,4.162543614778395,"(45.14135331, 10.77086348)"
2014,REGIONE LOMBARDIA,ALL,65-79,,,1523108,15.271707322991354,
2017,MONZA E DELLA BRIANZA,ALL,0-17,9.258430902,45.5823624,148034,17.03774720639367,"(45.5823624, 9.258430902)"
2016,REGIONE LOMBARDIA,F,18-39,,,1186598,11.856081357674478,
2014,VARESE,F,80 e +,8.80650544,45.80041256,36690,4.131770715441607,"(45.80041256, 8.80650544)"
2015,PAVIA,F,18-39,9.14034225,45.18407925,64008,11.664923221594906,"(45.18407925, 9.14034225)"
2017,PAVIA,F,65-79,9.14034225,45.18407925,47656,8.70825270305582,"(45.18407925, 9.14034225)"
2016,MILANO,M,65-79,9.18951,45.46427,226744,7.066958515622054,"(45.46427, 9.18951)"
2015,SONDRIO,F,65-79,9.879429303,46.1707552,14794,8.124732269367223,"(46.1707552, 9.879429303)"
2017,BRESCIA,M,65-79,10.18167955,45.51939749,88566,7.014139788608022,"(45.51939749, 10.18167955)"
2012,MANTOVA,M,18-39,10.77086348,45.14135331,54600,13.376222172680658,"(45.14135331, 10.77086348)"
2017,COMO,F,18-39,9.039360974,45.80216962,69492,11.578333527716223,"(45.80216962, 9.039360974)"
2014,ITALIA,F,ALL,,,31298104,51.49182329410088,
2013,LODI,F,40-64,9.510140481,45.31535435,40657,18.005916792885674,"(45.31535435, 9.510140481)"
2014,BERGAMO,ALL,18-39,9.63853045,45.68012929,288678,26.067122311707802,"(45.68012929, 9.63853045)"
2016,BRESCIA,ALL,65-79,10.18167955,45.51939749,185907,14.706610605922767,"(45.51939749, 10.18167955)"
2012,MANTOVA,M,0-17,10.77086348,45.14135331,34627,8.483121706472769,"(45.14135331, 10.77086348)"
2015,VARESE,M,40-64,8.80650544,45.80041256,161967,18.193755799037106,"(45.80041256, 8.80650544)"
2014,LODI,F,18-39,9.510140481,45.31535435,29480,12.868754419814737,"(45.31535435, 9.510140481)"
