lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2019-06-04,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-06-05,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-06-06,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2019-06-07,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-06-08,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-06-09,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2019-06-10,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.55,cm,mslm,2019-06-11,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.59,cm,mslm,2019-06-12,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.5,cm,mslm,2019-06-13,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.45,cm,mslm,2019-06-14,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.37,cm,mslm,2019-06-15,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2019-06-16,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2019-06-17,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-06-18,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2019-06-19,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2019-06-20,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2019-06-21,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.18,cm,mslm,2019-06-22,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.15,cm,mslm,2019-06-23,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.18,cm,mslm,2019-06-24,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-06-25,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2019-06-26,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2019-06-27,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2019-06-28,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2019-06-29,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2019-06-30,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2019-07-01,2019,metri sul livello del mare
